,STATE,COUNTY,County_Population,countyFIPS,County_Area in m2 - Total area,County_Area in m2 - Water area,County_Area in m2 - Land area,County_Population_Density_m2
0,Alabama,Autauga County,55200,01001,1565371665.3716652,25770525.77052577,1539601139.6011398,3.585344189489267e-05
1,Alabama,Baldwin County,208107,01003,5250738150.738151,1133203833.203833,4117534317.5343175,5.0541655260476293e-05
2,Alabama,Barbour County,25782,01005,2342709142.7091427,50867650.86765087,2291841491.8414917,1.1249469080553296e-05
3,Alabama,Bibb County,22527,01007,1621781921.7819216,9298109.298109299,1612483812.4838126,1.3970372803495133e-05
4,Alabama,Blount County,57645,01009,1685133385.1333852,15151515.15151515,1669981869.98187,3.4518338813238625e-05
5,Alabama,Bullock County,10352,01011,1619114219.1142192,6060606.060606061,1613053613.053613,6.41764161849711e-06
6,Alabama,Butler County,20025,01013,2014711214.7112148,2719502.7195027196,2011991711.991712,9.952824298752623e-06
7,Alabama,Calhoun County,115098,01015,1585832685.8326857,16627816.627816629,1569204869.2048693,7.334797530823443e-05
8,Alabama,Chambers County,33826,01017,1562056462.056462,17042217.042217042,1545014245.014245,2.1893649271620875e-05
9,Alabama,Cherokee County,25853,01019,1553949753.949754,119865319.86531986,1434084434.0844343,1.8027529889832037e-05
10,Alabama,Chilton County,43930,01021,1815073815.0738149,20590520.59052059,1794483294.4832945,2.4480584542108683e-05
11,Alabama,Choctaw County,13075,01023,2385029785.029785,19062419.062419064,2365967365.967366,5.526280788177339e-06
12,Alabama,Clarke County,24387,01025,3244159544.159544,36544936.544936545,3207614607.614608,7.602846034591347e-06
13,Alabama,Clay County,13378,01027,1569541569.5415695,5283605.283605284,1564257964.2579644,8.552297834293661e-06
14,Alabama,Cleburne County,14938,01029,1453017353.017353,2356902.356902357,1450660450.6604507,1.0297378682378147e-05
15,Alabama,Coffee County,51288,01031,1762470862.4708626,3936803.936803937,1758534058.5340586,2.9165201408015082e-05
16,Alabama,Colbert County,54495,01033,1611318311.3183112,76430976.43097644,1534887334.8873348,3.5504234585400426e-05
17,Alabama,Conecuh County,12514,01035,2208547008.5470085,6656306.656306656,2201916601.9166017,5.683230685988521e-06
18,Alabama,Coosa County,10855,01037,1725848225.8482258,39937839.93783994,1685910385.9103858,6.438657766580124e-06
19,Alabama,Covington County,37351,01039,2703418803.418803,34524734.52473453,2668894068.894069,1.39949353686703e-05
20,Alabama,Crenshaw County,13865,01041,1582284382.284382,5387205.387205387,1576897176.897177,8.792583437356284e-06
21,Alabama,Cullman County,82313,01043,1955503755.5037556,52266252.266252264,1903237503.2375033,4.324893759185673e-05
22,Alabama,Dale County,49255,01045,1457394457.3944576,4014504.0145040145,1453379953.3799534,3.388996792301524e-05
23,Alabama,Dallas County,40029,01047,2573944573.944574,39134939.134939134,2534809634.809635,1.5791718419519968e-05
24,Alabama,DeKalb County,71200,01049,2016809116.809117,4118104.1181041184,2012665112.6651127,3.537597961626066e-05
25,Alabama,Elmore County,81212,01051,1701735301.7353017,99870499.87049988,1601864801.864802,5.0698410942956924e-05
26,Alabama,Escambia County,37328,01053,2468635068.6350684,20875420.875420876,2447759647.759648,1.5249863291996445e-05
27,Alabama,Etowah County,102939,01055,1420953120.953121,35327635.32763533,1385625485.6254857,7.429063702125273e-05
28,Alabama,Fayette County,16585,01057,1630044030.0440302,4403004.403004403,1625641025.6410255,1.0202129337539432e-05
29,Alabama,Franklin County,31542,01059,1674488474.4884744,32893032.89303289,1641595441.5954418,1.9214234640749738e-05
30,Alabama,Geneva County,26491,01061,1499481999.4819996,11758611.75861176,1487723387.7233877,1.780640152504309e-05
31,Alabama,Greene County,8426,01063,1709246309.2463095,33229733.22973323,1676016576.016576,5.027396578634235e-06
32,Alabama,Hale County,14887,01065,1700336700.3367004,32530432.530432533,1667806267.806268,8.926096686026648e-06
33,Alabama,Henry County,17124,01067,1471924371.9243717,16990416.99041699,1454933954.933955,1.1769606408544726e-05
34,Alabama,Houston County,104352,01069,1506475006.4750063,4739704.73970474,1501735301.735302,6.948761201752267e-05
35,Alabama,Jackson County,52094,01071,2918337218.3372183,126651126.65112665,2791686091.6860914,1.8660407470288628e-05
36,Alabama,Jefferson County,659892,01073,2910670810.6708107,32478632.478632476,2878218078.218078,0.00022927102188467354
37,Alabama,Lamar County,13933,01075,1568142968.1429682,1605801.6058016059,1566563066.5630667,8.89399239480863e-06
38,Alabama,Lauderdale County,92585,01077,1867365967.3659675,138021238.02123803,1729344729.3447294,5.35376194398682e-05
39,Alabama,Lawrence County,33171,01079,1857549857.5498576,68686868.68686868,1788862988.8629887,1.8543063502635084e-05
40,Alabama,Lee County,159287,01081,1595053095.053095,21522921.522921525,1573530173.5301735,0.00010122907248905422
41,Alabama,Limestone County,93052,01083,1572623672.6236727,122377622.37762238,1450246050.2460504,6.416290531128335e-05
42,Alabama,Lowndes County,10236,01085,1877933177.9331782,23724423.724423725,1854208754.208754,5.520414018521882e-06
43,Alabama,Macon County,19054,01087,1588215488.2154884,11188811.18881119,1577026677.026677,1.208223061636749e-05
44,Alabama,Madison County,357560,01089,2104895104.8951051,28774928.774928775,2076120176.1201763,0.00017222509761848326
45,Alabama,Marengo County,19538,01091,2545117845.117845,14996114.996114997,2530121730.1217303,7.722158095160102e-06
46,Alabama,Marion County,29965,01093,1925848225.848226,3315203.315203315,1922533022.5330224,1.5586208220506812e-05
47,Alabama,Marshall County,95145,01095,1614037814.037814,148510748.51074854,1465527065.5270655,6.492203538102644e-05
48,Alabama,Mobile County,414659,01097,4257990157.990158,1073763273.7632737,3184252784.2527843,0.00013022175941892244
